吉林建筑大学测勘学院
主点要素:
p1=1.875	p2=1.875	q1=149.972	q2=149.972	T1=686.373	T2=686.373
圆曲线长Ly=747.198	平曲线 L=1347.198	 外矢距 E=72.494	切曲差D=25.548
主点里程桩号：
KZH=155224.535	KHY=155524.535	KQZ=155898.134	KYH=156271.733	KHZ=156571.733
主点坐标：
ZH(x,y) 33670.847,51097.981	HY(x,y) 33854.693,51334.953
YH(x,y) 34159.648,52012.333	HZ(x,y) 34215.177,52307.073

逐桩坐标
桩号      X坐标         Y坐标          切线方位角(d.ms) 左边桩X      左边桩Y      右边桩X      右边桩Y      
155940    34055.682      51697.713      66.574383      34066.955      51692.919      34044.409      51702.507      
155950    34059.573      51706.925      67.145515      34070.87       51702.188      34048.276      51711.662      
155960    34063.417      51716.156      67.320648      34074.737      51711.475      34052.097      51720.837      
155970    34067.215      51725.407      67.49178       34078.559      51720.783      34055.871      51730.031      
155980    34070.967      51734.677      68.062912      34082.334      51730.11       34059.6        51739.244      
155990    34074.672      51743.965      68.234045      34086.061      51739.454      34063.283      51748.476      
156000    34078.331      51753.271      68.405177      34089.743      51748.817      34066.919      51757.725      
156010    34081.943      51762.596      68.58031       34093.377      51758.2        34070.509      51766.992      
156020    34085.509      51771.939      69.151442      34096.965      51767.6        34074.053      51776.278      
156030    34089.028      51781.299      69.322574      34100.505      51777.017      34077.551      51785.581      
156040    34092.5        51790.677      69.493707      34103.999      51786.453      34081.001      51794.901      
156050    34095.925      51800.072      70.064839      34107.445      51795.905      34084.405      51804.239      
156060    34099.303      51809.484      70.235972      34110.843      51805.375      34087.763      51813.593      
156070    34102.634      51818.913      70.411104      34114.195      51814.861      34091.073      51822.965      
156080    34105.918      51828.359      70.582236      34117.499      51824.365      34094.337      51832.353      
156090    34109.154      51837.821      71.153369      34120.755      51833.885      34097.553      51841.757      
156100    34112.343      51847.298      71.324501      34123.963      51843.42       34100.723      51851.176      
156110    34115.485      51856.792      71.495634      34127.124      51852.972      34103.846      51860.612      
156120    34118.579      51866.301      72.070766      34130.237      51862.54       34106.921      51870.062      
156130    34121.626      51875.826      72.241898      34133.303      51872.123      34109.949      51879.529      
156140    34124.625      51885.366      72.413031      34136.32       51881.721      34112.93       51889.011      
156150    34127.576      51894.92       72.584163      34139.289      51891.334      34115.863      51898.506      
156160    34130.48       51904.489      73.155296      34142.211      51900.962      34118.749      51908.016      
156170    34133.335      51914.073      73.330428      34145.084      51910.604      34121.586      51917.542      
156180    34136.143      51923.671      73.501561      34147.909      51920.261      34124.377      51927.081      
156190    34138.902      51933.282      74.072693      34150.685      51929.931      34127.119      51936.633      
156200    34141.614      51942.908      74.243825      34153.413      51939.616      34129.815      51946.2        
156210    34144.277      51952.547      74.414958      34156.093      51949.314      34132.461      51955.78       
156220    34146.892      51962.199      74.59009       34158.724      51959.025      34135.06       51965.373      
